jurisdiction,entity_type,desc,name,link,instructions_link,efile_allowed,efile_required,efile_required_desc,efile_allowed_desc,dd,fiscal_dd_desc,ext_dd,fiscal_ext_dd_desc,,,,,,
Utah (UT),Partnership,"Partnership/Limited Liability Partnership/_x000D_
Limited Liability Company Return",TC-65,https://tax.utah.gov/forms/current/tc-65.pdf,https://tax.utah.gov/forms/current/tc-65inst.pdf,,,,,,,,,,,,,,
Vermont (VT),Partnership,,,,,,,,,,,,,,,,,,
Virginia (VA),Partnership,Return of Income and Return of Nonresident withholding Tax,502,https://www.tax.virginia.gov/sites/default/files/taxforms/corporation-and-pass-through-entity-tax/2016/502-2016.pdf,https://www.tax.virginia.gov/sites/default/files/2016-12/502-2016-instructions.pdf,,,y,Y,43205,15th day of the 4th month after the close of the entity’s taxable year,43388,"6 month ext; An automatic extension of time to file is granted to the date 6 months after the due date for filing Form 502 or 30 days after the extended due date for filing the federal income tax return, whichever is later (see return instructions for details))",,,,,,
Washington DC (DC),Partnership,Partnership Return of Income,D-65,https://otr.cfo.dc.gov/sites/default/files/dc/sites/otr/publication/attachments/2016%20D-65_Fill-in.pdf,,,,,,,,,,,,,,,
West Virginia (WV),Partnership,,,,,,,,,,,,,,,,,,
Wisconsin (WI),Partnership,Partnership Return,3,https://www.revenue.wi.gov/DORForms/2016-Form3.pdf,https://www.revenue.wi.gov/DORForms/2016-Form3-inst.pdf,,,,,,,,,,,,,,
Wyoming (WY),Partnership,null,null,,,,,,,,,,,,,,,,
Alabama (AL),S-Corp,Department of Revenue S Corporation Information/Tax Return,20S,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20s.pdf,https://revenue.alabama.gov/wp-content/uploads/2018/01/17f20sinstr.pdf,,,Yes,,43174,15th day of the 3rd month following fiscal year end,43358,6 month ext,,,,,,
Arizona (AZ),S-Corp,S Corporation Income Tax Return,120S,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-F/FORMS_CORPORATE_2017_120S_f.pdf,https://www.azdor.gov/Portals/0/ADOR-forms/TY2017/CORP-I/FORMS_CORPORATE_2017_120S-i.pdf,,,,,43174,15th day of the 3rd month following fiscal year end,43174,Due date of the return,,,,,,
Arkansas (AR),S-Corp,S Corporation Income Tax Return,AR1100S,http://staging-dfa-site.ark.org/images/uploads/incomeTaxOffice/AR1100S_2017_Re.pdf,http://staging-dfa-site.ark.org/images/uploads/incomeTaxOffice/SubchapterS_Instructions_2017.pdf,,,,,43205,15th day of the 4th month following fiscal year end,43205,Due date of the return,,,,,,
California (CA),S-Corp,California S Corporation Franchise or Income Tax Return ,100-S,https://www.ftb.ca.gov/forms/2017/17_100s.pdf#,https://www.ftb.ca.gov/forms/2017/17_100sbk.pdf,,,Yes,Depends,null,File Form 100S by the 15th day of the 3rd month after the close of the taxable year unless the return is for a short-period as required under R&TC Section 24634,null,it may file on or before the 15th day of the 9th month without filing a written request for an extension,,,,,,
Colorado (CO),S-Corp,Pass-Trhough Entity Composite Nonresident Income Tax Form (Partnership/S-Corporation Booklet),106,https://www.colorado.gov/pacific/sites/default/files/106Book.pdf,https://www.colorado.gov/pacific/sites/default/files/106Book.pdf,,,yes,,43207,"15 day of the fourth month after the close of the tax year, ",null,6 months,,,,,,
Delaware (DE),S-Corp,"S CORPORATION RECONCILIATION_x000D_
AND SHAREHOLDERS INFORMATION RETURN",1100-S,https://revenue.delaware.gov/services/current_bt/TY16_1100Se.pdf,https://revenue.delaware.gov/services/current_bt/TY16_1100Si.pdf,,,,,43220,30th day of the third month following the close of the taxable year,,,,,,,,
Georgia (GA),S-Corp,Corporation Tax Return,600S,https://dor.georgia.gov/sites/dor.georgia.gov/files/related_files/document/TSD/Form/600S_2017_Corporation_Tax_Return.pdf,,,,,,,,,,,,,,,
Hawaii (HI),S-Corp,S Corporatioin Income Tax return,N-35,http://files.hawaii.gov/tax/forms/2016/n35_f.pdf,http://files.hawaii.gov/tax/forms/2016/n35_f.pdf,,,,,,,,,,,,,,
Idaho (ID),S-Corp,S CORPORATION INCOME TAX RETURN,41S,https://tax.idaho.gov/forms/EFO00028_06-05-2017.pdf,https://tax.idaho.gov/forms/EIN00046_10-30-2017.pdf,,,,,,,,,,,,,,
Illinois (IL),S-Corp,Small Business Corporation Replacement Tax Return,IL-1120-ST,http://www.revenue.state.il.us/TaxForms/IncmCurrentYear/Business/SmallBusiness/IL-1120-ST.pdf,http://tax.illinois.gov/TaxForms/IncmCurrentYear/Business/SmallBusiness/IL-1120-ST-Instr.pdf,,,,,43174,15th day of the 3rd month following fiscal year end,,AUTOMATIC,,,,,,
Indiana (IN),S-Corp,S Corporation Income Tax Return,IT-20S,Note:  Tax form and nstructions are on the same pdf https://www.in.gov/dor/5696.htm,https://www.in.gov/dor/5696.htm,,,,,43205,15th day of the 4th month following close of the taxable year,,,,,,,,
Iowa (IA),S-Corp,Income Tax Return for S Corporations,IA 1120S,https://tax.iowa.gov/sites/files/idr/forms1/2017IA1120S%2842004%29.pdf,,,,,,,,,,,,,,,
Kansas (KS),S-Corp,PARTNERSHIP or S CORPORATION INCOME,K-120S,https://www.ksrevenue.org/pdf/k-120s17.pdf,,,,,,,,,,,,,,,
Kentucky (KY),S-Corp,S-CORPORATION INCOME TAX AND LLET RETURN,720S,https://revenue.ky.gov/Software-Developer/Corporation%20Income%20Tax%20Forms/16_41A720S%20(0001).pdf,https://revenue.ky.gov/Forms/15_41A720SI1115.pdf,,,,,,,,,,,,,,
Louisiana (LA),S-Corp,Corporation Income Tax Return,CIFT-620SD,http://revenue.louisiana.gov/TaxForms/CIFT620WEB(1_16)F.pdf,http://revenue.louisiana.gov/TaxForms/CIFT620i(1_17).pdf,,,Y,,43235, 15th day of the fifth month following the close of the taxable year,43419,6 months,,,,,,
Maine (ME),S-Corp,CORPORATE INCOME TAX RETURN,NULL,NULL,NULL,,,,,,,,,,,,,,
Maryland (MD),S-Corp,PASS THROUGH ENTITY INCOME TAX RETURN,510,http://forms.marylandtaxes.gov/17_forms/510.pdf,http://forms.marylandtaxes.gov/current_forms/PTE_Booklet.pdf,,,,,,,,,,,,,,
Massachusetts (MA),S-Corp,S Corporation Excise Return,355S,https://www.mass.gov/files/documents/2017/11/06/dor-2017-corp-355s-form-355s.pdf,,,,,,,,,,,,,,,
Michigan (MI),S-Corp,COMPOSITE INDIVIDUAL TAX RETURN,810,,,,,,,,,,,,,,,,
Mississippi (MS),S-Corp,PASS-THROUGH ENTITY TAX RETURN,84-105,http://www.dor.ms.gov/Forms/84105168.pdf,,,,,,,,,,,,,,,
Missouri (MO),S-Corp,S-Corporation Income Tax Return,MO-1120S,http://dor.mo.gov/forms/MO-1120S_2017.pdf,http://dor.mo.gov/forms/MO-1120S%20Instructions_2017.pdf,,,,,,,,,,,,,,
Montana (MT),S-Corp,S CORPORATION INFORMATION AND COMPOSITE TAX RETURN,CLT-4S,https://app.mt.gov/myrevenue/Endpoint/DownloadPdf?yearId=806,https://app.mt.gov/myrevenue/Endpoint/DownloadPdf?yearId=806,,,,,,,,,,,,,,
Nebraska (NE),S-corp,S CORPORATION INCOME TAX RETURN,1120-SN,,,,,,,,,,,,,,,,
Nevada (NV),S-Corp,COMMERCE TAX RETURN,NCTR,,,,,,,,,,,,,,,,
New Hampshire (NH),S-Corp,BUSINESS PROFITS TAX RETURN,NH-1120,,,,,,,,,,,,,,,,
New Jersey (NJ),S-Corp,Corporation Business Tax Return,CBT-100,http://www.state.nj.us/treasury/taxation/pdf/current/cbt/cbt100.pdf,http://www.state.nj.us/treasury/taxation/pdf/current/cbt/cbt100ins.pdf,,,Y,Y,43207,43388,,"6 month ext (Where a tentative return, Form CBT-200-T, and tax payment are timely and properly filed, it is the policy of the Division of Taxation to grant an extension of no more than six (6) months for filing the CBT-100)",,,,,,
New Mexico (NM),S-Corp,SUP-CHAPTER S CORPORATE INCOME AND FRANCHISE TAX RETURN,S-CORP,,,,,,,,,,"If FED ext has been obtained, no need to submit ext form RPD-41096",,,,,,
New York (NY),S-Corp, S Corporation Franchise Tax Return,CT-3-S,https://www.tax.ny.gov/pdf/current_forms/ct/ct3s.pdf,https://www.tax.ny.gov/pdf/current_forms/ct/ct3si.pdf,,,Y,,43174, 2½ months after the end of your reporting period,43358,6 month ext,,,,,,
North Carolina (NC),S-Corp,S-Corporation Tax Return,CD-401S,http://www.zillionforms.com/2016/F512213597.PDF,https://files.nc.gov/ncdor/documents/files/2016_cd-401s_inst_s_corporation_tax_return_instructions.pdf?2UwIEXbjSdcgdAsBtAngHltVSl42T3Dl,,,Y,,43207,,43388,"15, 2018.",,,,,,
North Dakota (ND),S-Corp,S-CORPORATION INCOME TAX RETURN,60,https://www.nd.gov/tax/data/upfiles/media/form-60_1.pdf?20180111101716,https://www.nd.gov/tax/data/upfiles/media/s-corporation-income-tax-booklet_1.pdf?20180111101751,,,,,43174,,42993,,,,,,,
Ohio (OH),S-Corp,PASS-THROUGH ENTITY AND TRUST WITHHOLDING TAX RETURN,IT-1140,,,,,,,,,,,,,,,,
Oklahoma (OK),S-Corp,"Small Business Corporation_x000D_
Income and Franchise Tax Return",512S,https://www.ok.gov/tax/documents/512Spkt-17.pdf,https://www.ok.gov/tax/documents/512Spkt-17.pdf,,,,,,,,,,,,,,
Oregon (OR),S-Corp,S Corporation Tax Return,OR-20-S,http://www.oregon.gov/DOR/forms/FormsPubs/form-or-20-s_102-025_2017.pdf,http://www.oregon.gov/DOR/forms/FormsPubs/form-OR-20-S-instructions_102-018_2017.pdf,,,,,,,,,,,,,,
Pennsylvania (PA),S-Corp,S Corporation/Partnership,PA-20S/PA-65,http://www.revenue.pa.gov/FormsandPublications/FormsforBusinesses/Partnerships-S-Corps-LLCs/Documents/2016/2016_pa-20s-pa-65.pdf,http://www.revenue.pa.gov/FormsandPublications/FormsforBusinesses/Partnerships-S-Corps-LLCs/Documents/2016/2016_pa-20s-pa-65.pdf,,,Y,,43205,15th day of the fourth month following the close of the fiscal year,43358,,,,,,,
Rhode Island (RI),S-Corp,Subchapter S Business Corporation Tax Return,RI-1120S,http://www.tax.ri.gov/forms/2017/DRAFTS/Corp/RI-1120S_FFXTEST.pdf,http://www.tax.ri.gov/forms/2016/Corp/2016%20RI-1120S%20Instructions.pdf,,,,,,,,,,,,,,
South Carolina (SC),S-Corp,S' CORPORATION INCOME TAX RETURN,SC1120S,https://dor.sc.gov/forms-site/Forms/SC1120S.pdf,,,,,,,,,,,,,,,
South Dakota (SD),S-Corp,,,,,,,,,,,,,,,,,,
Tennessee (TN),S-Corp,FRANCHISE AND EXCISE TAX RETURN,FAE 170,,,,,,,,,,,,,,,,
Texas (TX),S-Corp,,,,,,,,,,,,,,,,,,
Utah (UT),S-Corp,"Partnership/Limited Liability Partnership/_x000D_
Limited Liability Company Return",TC-65,https://tax.utah.gov/forms/current/tc-65.pdf,https://tax.utah.gov/forms/current/tc-65inst.pdf,,,,,,,,,,,,,,
Vermont (VT),S-Corp,BUSINESS INCOME TAX RETURN,BI-471,,,,,,,,,,,,,,,,
Virginia (VA),S-Corp,RETURN OF INCOME AND RETURN OF NONRESIDENT WITHHOLDING TAX,502,,,,,,,,,,,,,,,,
Washington DC (DC),S-Corp,SUB CORPORATION FRANCHISE TAX RETURN,D-20,,,,,,,,,,,,,,,,
West Virginia (WV),S-Corp,Income Tax Return S Corporation & Partnership (Pass-Through Entity),SPF-100,,,,,,,,,,,,,,,,
Wisconsin (WI),S-Corp,Election by an S Corporation Not to Be Treated as a Tax-Option Corporation,5E,https://www.revenue.wi.gov/DORForms/2016-Form5E.pdf,,,,,,,,,,,,,,,
Wisconsin (WI),S-Corp,Tax-Option (S) Corporation Franchise or Income Tax,5S,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form5S.pdf,https://www.revenue.wi.gov/TaxForms2017through2019/2017-Form5S-Inst.pdf,,,,,,,,,,,,,,
Wyoming (WY),S-Corp,null,null,,,,,,,,,,,,,,,,
Idaho (ID),Trust,FIDUCIARY INCOME TAX RETURN,66,https://tax.idaho.gov/forms/EFO00036_07-10-2017.pdf,https://tax.idaho.gov/forms/EIN00044_12-20-2017.pdf,,,,,,,,,,,,,,
Kansas (KS),Trust,FIDUCIARY INCOME TAX,K-41,https://www.ksrevenue.org/pdf/k-4117.pdf#search=FIDUCIARY,,,,,,,,,,,,,,,
Missouri (MO),Trust,,,,,,,,,,,,,,,,,,
Montana (MT),Trust,,FID-3,,,,,,,,,,,,,,,,
Nebraska (NE),Trust,,,,,,,,,,,,,,,,,,
Nevada (NV),Trust,,,,,,,,,,,,,,,,,,
New Hampshire (NH),Trust,,,,,,,,,,,,,,,,,,
New Jersey (NJ),Trust,Gross Income Tax Fiduciary Return,NJ-1041,http://www.state.nj.us/treasury/taxation//pdf/current/1041.pdf,http://www.state.nj.us/treasury/taxation/pdf/current/1041i.pdf,,,Y,Depends,43205,15th day of the fourth month following the close of the tax year of the estate or trust,,"5½ month extension is automatic  with Fed ext for zero returns (if no Fed ext is filed, then ext form NJ-630 needs to be filed to obtain an ext for a state zero return) However, returns with payment due need to file ext form NJ-630 and satisfy payment of 80% requirement - (see the return instructions for detail)",,,,,,
New Mexico (NM),Trust,,FID-1,,,,,,,,,,,,,,,,
New York (NY),Trust,Fiduciary Income Tax Return,IT-205,https://www.tax.ny.gov/pdf/current_forms/it/it205_fill_in.pdf,https://www.tax.ny.gov/pdf/current_forms/it/it205i.pdf,,,Y,,43207,17th day of the fourth month following the close of the tax year (SEE INSTRUCTIONS FOR ADD'L INFO),43373,5 1/2 month ext,,,,,,
North Carolina (NC),Trust,Estates and Trusts Income Tax Return,D-407,https://files.nc.gov/ncdor/documents/files/2016_d407_estates_and_trusts_income_tax_return_webfill_0.pdf?jkyK8Vih8sYINnfBTHLG2y2hmEYzN5R8,https://files.nc.gov/ncdor/documents/files/2016_d407a_instructions_for_estates_and_trusts_income_tax_return_0.pdf?bRJsf9zsF4hnjdDlO4DyA1pz8OACumQL,,,N,,43205,,43388,6 MONTH EXT,,,,,,
North Dakota (ND),Trust,,38,https://www.nd.gov/tax/data/upfiles/media/form-38.pdf?20180111102329,https://www.nd.gov/tax/data/upfiles/media/fiduciary-income-tax-booklet.pdf?20180111102423,,,,,43207,,42993,,,,,,,
Ohio (OH),Trust,,,,,,,,,,,,,,,,,,
Oklahoma (OK),Trust,,,,,,,,,,,,,,,,,,
Oregon (OR),Trust,,,,,,,,,,,,,,,,,,
Rhode Island (RI),Trust,Fiduciary Income Tax Return,RI-1041,http://www.tax.ri.gov/forms/2016/Fiduciary/2016%20RI-1041_m.pdf,http://www.tax.ri.gov/forms/2016/Fiduciary/2016%201041%20Instructions%20Mod_11102016.pdf,,,,,,,,,,,,,,
South Carolina (SC),Trust,FIDUCIARY INCOME TAX RETURN,SC1041,https://dor.sc.gov/forms-site/Forms/SC1041_2017.pdf,,,,,,,,,,,,,,,
South Dakota (SD),Trust,,,,,,,,,,,,,,,,,,
Tennessee (TN),Trust,,,,,,,,,,,,,,,,,,
Texas (TX),Trust,,,,,,,,,,,,,,,,,,
Utah (UT),Trust,Utah Fiduciary Income Tax Return,TC-41,https://tax.utah.gov/forms/current/tc-41.pdf,https://tax.utah.gov/forms/current/tc-41inst.pdf,,,,,,,,,,,,,,
Vermont (VT),Trust,,,,,,,,,,,,,,,,,,
Virginia (VA),Trust,Fiduciary Income Tax Return,770,https://www.tax.virginia.gov/sites/default/files/taxforms/individual-income-tax/2017/770-2017.pdf,https://www.tax.virginia.gov/sites/default/files/vatax-pdf/2017-form-770-instructions.pdf,,,Y,Depends,,,,,,,,,,
Washington DC (DC),Trust,Fiduciary Income Tax Return,D-41,https://otr.cfo.dc.gov/sites/default/files/dc/sites/otr/publication/attachments/2016%20D-41%20Booklet_11.8.16.pdf,https://otr.cfo.dc.gov/sites/default/files/dc/sites/otr/publication/attachments/2016%20D-41%20Booklet_11.8.16.pdf,,,,,,,,,,,,,,
Wyoming (WY),Trust,null,null,,,,,,,,,,,,,,,,
New York City (NYC),Corporation,,,,,,,,,,,,,,,,,,
New York City (NYC),Estate,,,,,,,,,,,,,,,,,,
New York City (NYC),Exempt Organization,,,,,,,,,,,,,,,,,,
New York City (NYC),Fiduciaries,,,,,,,,,,,,,,,,,,
New York City (NYC),Franchises,,,,,,,,,,,,,,,,,,
New York City (NYC),Individual,,,,,,,,,,,,,,,,,,
New York City (NYC),LLC,,,,,,,,,,,,,,,,,,
New York City (NYC),Other,,,,,,,,,,,,,,,,,,
New York City (NYC),Partnership,,,,,,,,,,,,,,,,,,
New York City (NYC),S-Corp,,,,,,,,,,,,,,,,,,
New York City (NYC),Trust,,,,,,,,,,,,,,,,,,
